token,total_count,baseline_count,up_count_x,down_count_x,baseline_freq,up_freq,down_freq,up_enrichment,down_enrichment,up_vs_down,up_pvalue,down_pvalue,up_significant,down_significant,up_delta_mean,up_delta_std,up_count_y,down_delta_mean,down_delta_std,down_count_y,baseline_rank_mean,up_rank_mean,down_rank_mean,up_rank_change,down_rank_change,category
"
",35,12,11,12,0.0021390374331550803,0.0021446675765256387,0.0022304832713754648,0.013773671452321666,0.06036163394250956,-0.046587962490187894,1.0,1.0,False,False,0.875,1.415317985471816,11.0,2.2386363636363638,1.936858398165817,11.0,1.0,1.0,1.0,0.0,0.0,UP_SUPPRESSED|DOWN_SUPPRESSED
 That,13,4,7,2,0.00071301247771836,0.0013647884577890426,0.0003717472118959108,0.8073227939848955,-0.6766039602236964,1.4839267542085919,0.45162119690799973,0.7209714329833652,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UP_SAMPLING_ARTIFACT
 The,87,30,22,35,0.0053475935828877,0.004289335153051277,0.006505576208178439,-0.3013834654576046,0.2760903249979469,-0.5774737904555515,0.5157140721566451,0.5047799130549409,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NEUTRAL
 Then,14,4,8,2,0.00071301247771836,0.0015597582374731916,0.0003717472118959108,0.9772477954272077,-0.6766039602236964,1.653851755650904,0.3064118578171081,0.7209714329833652,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UP_SAMPLING_ARTIFACT
 They,12,1,4,7,0.00017825311942959,0.0007798791187365958,0.0013011152416356876,1.45117898375962,2.0603616339425095,-0.6091826501828894,0.3193416424613109,0.0675456059464925,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UP_SAMPLING_ARTIFACT|DOWN_SAMPLING_ARTIFACT
 Voice,22,13,0,9,0.0023172905525846704,0.0,0.0016728624535315986,-3.6781040331853463,-0.4250651932277321,-3.2530388399576142,0.0015149204221038017,0.5877481999837221,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NEUTRAL
 Wait,10,4,1,5,0.00071301247771836,0.00019496977968414895,0.0009293680297397769,-1.1926772060151045,0.32339603977630355,-1.5160732457914081,0.42646417443286533,0.9499067877020392,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NEUTRAL
 a,431,137,143,151,0.024420677361853833,0.027880678494833302,0.028066914498141263,0.19065143353640088,0.19976469060792584,-0.009113257071524966,0.28764870046082247,0.2557769997837907,False,False,-8.822916666666666,8.34375344238748,18.0,-8.927083333333334,7.714019001429266,18.0,1.0,13.833333333333334,12.222222222222221,-12.833333333333334,-11.222222222222221,NEUTRAL
 about,61,20,19,22,0.0035650623885918,0.00370442581399883,0.004089219330855019,0.05886156098085981,0.19160616722076232,-0.1327446062399025,1.0,0.7713937556564379,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NEUTRAL
 addresses,20,4,9,7,0.00071301247771836,0.0017547280171573405,0.0013011152416356876,1.1292508888722579,0.7384335390551474,0.39081734981711047,0.20303914774092013,0.5009997432331685,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,UP_SAMPLING_ARTIFACT|DOWN_SAMPLING_ARTIFACT
 again,10,3,1,6,0.0005347593582887701,0.00019496977968414895,0.0011152416356877324,-0.8707491111277421,0.8677165560001138,-1.7384656671278558,0.6811394096386536,0.4654453548485197,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DOWN_SAMPLING_ARTIFACT
